id_incidente,fecha_hora_reporte,fecha_hora_resolucion,tipo_incidente,ubicacion,pais,nivel_gravedad,tiempo_respuesta_minutos,estado,dispositivo_asociado,cliente_tipo
INC-00001,2024-01-02 14:46:26,,alarma,Cali,Colombia,medio,29.0,en proceso,sensor,empresa
INC-00002,2024-01-03 00:15:02,2024-01-03 01:37:02,intrusión,Zaragoza,España,alto,47.0,cerrado,cámara,empresa
INC-00003,2024-01-03 02:58:07,2024-01-03 05:00:07,alarma,Rio de Janeiro,Brasil,bajo,81.0,cerrado,sensor,empresa
INC-00004,2024-01-06 01:41:39,,intrusión,Barcelona,España,medio,,abierto,alarma,empresa
INC-00005,2024-01-06 07:51:47,2024-01-06 09:03:47,robo,Cartagena,Colombia,alto,22.0,cerrado,sensor,particular
INC-00006,2024-01-06 15:15:13,2024-01-06 17:06:13,alarma,Bilbao,España,bajo,103.0,cerrado,alarma,empresa
INC-00007,2024-01-06 22:59:09,2024-01-06 23:40:09,alarma,Zaragoza,España,alto,22.0,cerrado,alarma,empresa
INC-00008,2024-01-07 04:28:10,2024-01-07 05:50:10,alarma,Ciudad de México,México,bajo,46.0,cerrado,sensor,particular
INC-00009,2024-01-07 10:21:25,,robo,Cali,Colombia,bajo,,abierto,alarma,particular
INC-00010,2024-01-07 13:00:01,2024-01-07 14:10:01,robo,Buenos Aires,Argentina,alto,44.0,cerrado,cámara,empresa
INC-00011,2024-01-07 15:21:18,2024-01-07 17:13:18,alarma,Rosario,Argentina,medio,84.0,cerrado,alarma,empresa
INC-00012,2024-01-07 17:17:39,2024-01-07 18:42:39,fallo técnico,Ciudad de México,México,medio,80.0,cerrado,sensor,empresa
INC-00013,2024-01-07 19:04:48,2024-01-07 20:47:48,robo,São Paulo,Brasil,medio,49.0,cerrado,cámara,empresa
INC-00014,2024-01-08 02:45:41,2024-01-08 03:48:41,robo,Madrid,España,crítico,23.0,cerrado,alarma,particular
INC-00015,2024-01-08 06:49:08,2024-01-08 08:20:08,intrusión,Bilbao,España,medio,59.0,cerrado,sistema,empresa
INC-00016,2024-01-09 04:00:31,2024-01-09 05:48:31,alarma,Tijuana,México,bajo,95.0,cerrado,alarma,empresa
INC-00017,2024-01-09 06:24:37,2024-01-09 08:18:37,robo,Mendoza,Argentina,medio,64.0,cerrado,alarma,empresa
INC-00018,2024-01-09 21:17:42,2024-01-09 21:57:42,alarma,Madrid,España,medio,31.0,cerrado,sensor,empresa
INC-00019,2024-01-10 15:08:57,2024-01-10 16:20:57,sabotaje,Madrid,España,medio,49.0,cerrado,cámara,particular
INC-00020,2024-01-12 11:33:33,2024-01-12 13:27:33,intrusión,Córdoba,Argentina,medio,80.0,cerrado,sensor,particular
INC-00021,2024-01-13 13:13:08,2024-01-13 14:40:08,alarma,Madrid,España,medio,77.0,cerrado,sensor,empresa
INC-00022,2024-01-13 14:24:43,,robo,São Paulo,Brasil,crítico,5.0,en proceso,cámara,empresa
INC-00023,2024-01-13 15:34:51,2024-01-13 16:39:51,sabotaje,Santiago,Chile,alto,31.0,cerrado,alarma,empresa
INC-00024,2024-01-13 22:15:24,2024-01-14 00:15:24,sabotaje,Valparaíso,Chile,medio,60.0,cerrado,sistema,particular
INC-00025,2024-01-15 01:57:19,,sabotaje,Guadalajara,México,bajo,,abierto,sistema,empresa
INC-00026,2024-01-15 01:59:03,2024-01-15 02:46:03,fallo técnico,São Paulo,Brasil,alto,20.0,cerrado,alarma,particular
INC-00027,2024-01-16 06:47:07,,fallo técnico,Guadalajara,México,medio,,abierto,alarma,empresa
INC-00028,2024-01-17 01:21:50,2024-01-17 03:19:50,fallo técnico,Guadalajara,México,medio,60.0,cerrado,sensor,particular
INC-00029,2024-01-17 02:06:38,2024-01-17 04:26:38,alarma,Valencia,España,bajo,105.0,cerrado,sistema,particular
INC-00030,2024-01-17 15:42:27,,otros,Cali,Colombia,bajo,73.0,en proceso,sistema,empresa
INC-00031,2024-01-17 16:43:26,2024-01-17 17:30:26,robo,Fortaleza,Brasil,alto,47.0,cerrado,sensor,empresa
INC-00032,2024-01-17 18:37:46,,intrusión,Brasília,Brasil,medio,46.0,en proceso,alarma,particular
INC-00033,2024-01-17 21:29:11,2024-01-17 23:31:11,sabotaje,Valparaíso,Chile,medio,69.0,cerrado,alarma,particular
INC-00034,2024-01-20 02:55:20,,alarma,Buenos Aires,Argentina,medio,,abierto,alarma,empresa
INC-00035,2024-01-20 04:35:46,2024-01-20 08:06:46,alarma,São Paulo,Brasil,bajo,172.0,cerrado,alarma,empresa
INC-00036,2024-01-20 11:56:53,2024-01-20 14:09:53,robo,São Paulo,Brasil,bajo,115.0,cerrado,cámara,empresa
INC-00037,2024-01-20 17:01:11,2024-01-20 18:31:11,intrusión,Medellín,Colombia,medio,49.0,cerrado,cámara,empresa
INC-00038,2024-01-20 17:11:01,2024-01-20 18:59:01,robo,Madrid,España,medio,98.0,cerrado,alarma,empresa
INC-00039,2024-01-20 18:43:06,2024-01-20 19:43:06,otros,Guadalajara,México,medio,60.0,cerrado,sensor,empresa
INC-00040,2024-01-20 19:02:15,2024-01-20 22:09:15,robo,Buenos Aires,Argentina,bajo,184.0,cerrado,cámara,empresa
INC-00041,2024-01-21 02:20:38,2024-01-21 04:19:38,fallo técnico,Madrid,España,medio,60.0,cerrado,sistema,particular
INC-00042,2024-01-21 09:19:17,2024-01-21 11:23:17,fallo técnico,Medellín,Colombia,medio,66.0,cerrado,sistema,empresa
INC-00043,2024-01-23 04:47:44,2024-01-23 05:31:44,otros,Tucumán,Argentina,crítico,14.0,cerrado,sensor,empresa
INC-00044,2024-01-26 10:50:59,2024-01-26 11:44:59,alarma,Ciudad de México,México,alto,37.0,cerrado,sensor,particular
INC-00045,2024-01-26 18:57:45,2024-01-26 19:48:45,fallo técnico,Valparaíso,Chile,alto,13.0,cerrado,sensor,particular
INC-00046,2024-01-27 09:16:58,2024-01-27 09:52:58,intrusión,Mendoza,Argentina,alto,20.0,cerrado,alarma,particular
INC-00047,2024-01-27 11:50:50,2024-01-27 13:14:50,robo,Valparaíso,Chile,alto,31.0,cerrado,alarma,empresa
INC-00048,2024-01-27 21:53:55,2024-01-27 23:28:55,otros,Medellín,Colombia,medio,52.0,cerrado,cámara,empresa
INC-00049,2024-01-28 20:09:41,,fallo técnico,Monterrey,México,alto,5.0,en proceso,sistema,empresa
INC-00050,2024-01-29 08:11:37,2024-01-29 11:33:37,sabotaje,Buenos Aires,Argentina,bajo,180.0,cerrado,alarma,empresa
INC-00051,2024-01-30 06:53:03,2024-01-30 08:34:03,robo,Ciudad de México,México,alto,48.0,cerrado,sensor,empresa
INC-00052,2024-01-31 01:53:04,,otros,Cali,Colombia,medio,,abierto,sistema,empresa
INC-00053,2024-01-31 03:22:30,,alarma,Santiago,Chile,medio,,abierto,alarma,empresa
INC-00054,2024-02-01 15:54:25,2024-02-01 18:54:25,fallo técnico,Bogotá,Colombia,bajo,140.0,cerrado,cámara,particular
INC-00055,2024-02-03 02:09:38,2024-02-03 02:43:38,robo,Bogotá,Colombia,crítico,21.0,cerrado,sistema,empresa
INC-00056,2024-02-03 08:44:39,2024-02-03 10:27:39,alarma,Brasília,Brasil,medio,66.0,cerrado,alarma,particular
INC-00057,2024-02-03 11:55:52,2024-02-03 13:04:52,robo,Zaragoza,España,crítico,16.0,cerrado,alarma,empresa
INC-00058,2024-02-03 12:55:43,2024-02-03 13:34:43,alarma,São Paulo,Brasil,crítico,7.0,cerrado,alarma,empresa
INC-00059,2024-02-03 19:19:21,2024-02-03 21:56:21,alarma,Monterrey,México,bajo,139.0,cerrado,alarma,particular
INC-00060,2024-02-03 21:28:23,,alarma,Cartagena,Colombia,bajo,,abierto,alarma,particular
INC-00061,2024-02-04 02:52:49,2024-02-04 03:09:49,otros,Barcelona,España,medio,15.0,cerrado,sistema,particular
INC-00062,2024-02-04 10:16:06,2024-02-04 10:50:06,alarma,Bilbao,España,alto,24.0,cerrado,sistema,empresa
INC-00063,2024-02-04 21:45:55,2024-02-04 23:27:55,intrusión,Cali,Colombia,bajo,55.0,cerrado,sensor,particular
INC-00064,2024-02-04 23:08:05,2024-02-05 01:53:05,fallo técnico,São Paulo,Brasil,bajo,131.0,cerrado,sistema,particular
INC-00065,2024-02-08 09:04:41,2024-02-08 11:14:41,alarma,Valparaíso,Chile,medio,94.0,cerrado,alarma,empresa
INC-00066,2024-02-10 10:38:03,2024-02-10 12:04:03,robo,Madrid,España,medio,82.0,cerrado,cámara,empresa
INC-00067,2024-02-11 03:23:19,2024-02-11 04:16:19,sabotaje,Buenos Aires,Argentina,alto,34.0,cerrado,alarma,particular
